date,BTC,CGB,CSI300,DBC,GLD,QQQ,SPY,STAR50,TLT
2018-02-28,0.004050519683814535,0.0003040840964330105,-0.06529815789372428,-0.029245396557949,-0.02075989032510772,-0.01308434407668213,-0.03626625006974271,-0.006937420986093623,-0.030409628086526475
2018-03-31,-0.32951768027919703,0.008832063259254674,0.008832063259254674,0.022873791222415063,0.006320000000000103,-0.04067238301189369,-0.027387913423923327,0.008832063259254674,0.028491888044526403
2018-04-30,0.3353740877625504,-0.00945913936044207,-0.00945913936044207,0.034179746682019285,-0.009539709038874356,0.004934275192325366,0.005119069383798358,-0.00945913936044207,-0.02095440819761396
2018-05-31,-0.19046053378700645,0.001391632303050061,-0.06535961371996735,0.026779958980369,-0.011959226262139855,0.056886129930424634,0.02430172205936465,-0.012028831752371572,0.020169180440597234
2018-06-30,-0.14628437370157166,-0.031358147829109395,-0.031358147829109395,-0.019461248715899826,-0.036149471974004754,0.01144475361388908,0.0058517931182582306,-0.031358147829109395,0.006562057036368918
2018-07-31,0.20983494703500916,-0.016435742316226687,-0.0857480827889896,-0.024270997031604735,-0.022418879056047336,0.027931291097854194,0.0370783979635827,-0.027440547929098558,-0.014781623910581576
2018-08-31,-0.09309617342286114,-0.0034759096212515495,-0.055385762114898096,0.00751610594130292,-0.021381153547719522,0.05782205949548125,0.03183344154301726,-0.003836017569545991,0.013404102195034184
2018-09-30,-0.054860715910663105,-0.005532906231799806,-0.005532906231799806,0.03392539964476016,-0.006607347370275796,-0.0028217052524107666,0.005989172680778143,-0.005532906231799806,-0.028801104699906266
2018-10-31,-0.03842711991271497,-0.007813525640335661,-0.06890206918594233,-0.05623317872072375,0.021195459382759907,-0.08590330674287516,-0.06909282298110586,-0.015156946814460004,-0.02932717209160629
2018-11-30,-0.3657620218677857,0.006520358669749982,0.011957854316933192,-0.09841635823068995,0.0033868866695614397,-0.002677120771995445,0.018461009005170448,0.0025733919894190826,0.017916388096336666
2018-12-31,-0.08373996614967394,0.011679150607228461,0.011679150607228461,-0.039975772259236764,0.04942011424614856,-0.08667534695439139,-0.08805332518062003,0.011679150607228461,0.05863210596805213
2019-01-31,-0.07259175241027305,0.04445650239272214,0.01636302218655339,0.07108307045215567,0.028865979381443196,0.09021194943482413,0.08001358629724864,0.026837719167239316,0.0036506980989183813
2019-02-28,0.110535511487726,-0.0017130001585941024,0.14475896408897926,0.028339551017736664,-0.0060921843687374855,0.029772123030013864,0.03256438951469964,0.0006874701099950364,-0.013572603269807582
2019-03-31,0.07611001418573604,-0.0029800929789008945,-0.0029800929789008945,-0.003755091649694453,-0.015969029760464437,0.039292742668343816,0.017973901452073004,-0.0029800929789008945,0.05544931203232406
2019-04-30,0.2965094603979095,-0.0065702177683867324,0.059897715962574205,0.01194659170765977,-0.006638800098352604,0.054988071248233794,0.040947329564220425,-0.003489390767220435,-0.019893886880813172
2019-05-31,0.6078379043792204,-0.017009325108481188,-0.09045090203520945,-0.05965909090909094,0.01757425742574248,-0.08231606911541911,-0.06387624909945377,-0.024338302403407508,0.0684015927189987
2019-06-30,0.26874342489772074,0.005491624180626431,0.005491624180626431,0.03967774420946624,0.08002918997810737,0.07611653737342317,0.06964243702672834,0.005491624180626431,0.00961888282532497
2019-07-31,-0.07126984273223935,0.0036005708447697238,0.0698353692788094,-0.011429678419217493,7.507507507531486e-05,0.023210702712917586,0.01509062576888387,-0.0026586085162639828,0.002504855904868153
2019-08-31,-0.048912110771953565,-0.03787931733363148,-0.03787931733363148,-0.04631262655954016,0.07912318894977854,-0.01901212973877331,-0.016684172254989083,-0.03787931733363148,0.11042046570346487
2019-09-30,-0.13539859837892576,0.006953237765292775,-0.006013210004602754,0.01417808219178096,-0.033947826086956456,0.009214089139667703,0.019406089986592212,0.0009233739524598938,-0.026717406579871983
2019-10-31,0.1027234978900613,0.011835596783499547,0.03555102359781559,0.019247653137029808,0.025635486426153875,0.04379530004334531,0.022121510769490094,0.01560124468946733,-0.011170148042993433
2019-11-30,-0.17492465142738367,0.0010098424076918633,0.0010098424076918633,-0.0013252054068381147,-0.03208593695148487,0.04065938109430767,0.03616323458250448,0.0010098424076918633,-0.0039131076801915965
2019-12-31,-0.04596460568902505,0.026100973289873153,0.04856689416562965,0.05825371549893843,0.03655882779631514,0.038868740339640606,0.029072140697537607,0.00991122985434778,-0.032193772082259264
2020-01-31,0.2998736663039263,0.006607770275155245,0.006607770275155245,-0.08589341692789965,0.04499650104968511,0.030456704705132953,-0.00042692232702923327,0.006607770275155245,0.07696235278099262
2020-02-29,-0.08866564238433239,-0.010657168197293454,-0.010657168197293454,-0.0665294924554184,-0.0063617491461863684,-0.060599340357565756,-0.07910852830493265,-0.010657168197293454,0.06619994310818922
2020-03-31,-0.24791960214040776,0.01479073669525377,-0.11565873862902143,-0.1734019103600294,-0.002224019409623801,-0.07277110854387459,-0.12485209693676325,-0.012738673596203842,0.06383120636755746
