date,CGB
2019-03-15,116.366
2019-03-18,116.353
2019-03-19,116.363
2019-03-20,116.394
2019-03-21,116.399
2019-03-22,116.484
2019-03-25,116.693
2019-03-26,116.856
2019-03-27,116.768
2019-03-28,116.876
2019-03-29,116.862
2019-04-01,116.739
2019-04-02,116.721
2019-04-03,116.456
2019-04-04,116.424
2019-04-08,116.134
2019-04-09,116.142
2019-04-10,115.776
2019-04-11,116.177
2019-04-12,116.061
2019-04-15,115.873
2019-04-16,115.785
2019-04-17,115.857
2019-04-18,115.859
2019-04-19,115.958
2019-04-22,116.027
2019-04-23,115.929
2019-04-24,115.787
2019-04-25,115.916
2019-04-26,116.007
2019-04-29,115.839
2019-04-30,116.084
2019-05-06,116.1
2019-05-07,116.343
2019-05-08,116.337
2019-05-09,116.38
2019-05-10,116.385
2019-05-13,116.485
2019-05-14,116.387
2019-05-15,116.382
2019-05-16,116.421
2019-05-17,116.583
2019-05-20,116.576
2019-05-21,116.485
2019-05-22,116.458
2019-05-23,116.575
2019-05-24,116.661
2019-05-27,116.454
2019-05-28,116.612
2019-05-29,116.696
2019-05-30,116.82
2019-05-31,116.956
2019-06-03,116.996
2019-06-04,117.001
2019-06-05,117.056
2019-06-06,116.992
2019-06-10,116.928
2019-06-11,116.732
2019-06-12,116.794
2019-06-13,116.794
2019-06-14,116.944
2019-06-17,117.003
2019-06-18,117.029
2019-06-19,117.061
2019-06-20,117.09
2019-06-21,117.203
2019-06-24,117.157
2019-06-25,117.189
2019-06-26,117.175
2019-06-27,117.147
2019-06-28,117.163
2019-07-01,117.184
2019-07-02,117.319
2019-07-03,117.699
2019-07-04,117.55
2019-07-05,117.527
2019-07-08,117.513
2019-07-09,117.58
2019-07-10,117.511
2019-07-11,117.514
2019-07-12,117.513
2019-07-15,117.553
2019-07-16,117.556
2019-07-17,117.555
2019-07-18,117.602
2019-07-19,117.637
2019-07-22,117.642
2019-07-23,117.682
2019-07-24,117.67
2019-07-25,117.641
2019-07-26,117.661
2019-07-29,117.647
2019-07-30,117.641
2019-07-31,117.69
2019-08-01,117.756
2019-08-02,117.94
2019-08-05,118.29
2019-08-06,118.494
2019-08-07,118.132
2019-08-08,118.146
2019-08-09,118.427
2019-08-12,118.64
2019-08-13,118.629
2019-08-14,118.51
2019-08-15,118.526
2019-08-16,118.428
2019-08-19,118.232
2019-08-20,118.22
2019-08-21,118.265
2019-08-22,118.233
2019-08-23,118.027
2019-08-26,118.258
2019-08-27,118.22
2019-08-28,118.24
2019-08-29,118.27
2019-08-30,118.191
2019-09-02,118.149
2019-09-03,118.047
2019-09-04,118.051
