date,portfolio_regime,gross_return,transaction_cost,net_return
2023-02-28,disinflationary_slowdown,-0.03514471565439324,0.00020444444444444446,-0.035349160098837686
2023-03-31,global_easing_growth,0.050367090776347864,0.0,0.050367090776347864
2023-04-30,global_easing_growth,0.004276155975204282,0.0,0.004276155975204282
2023-05-31,disinflationary_slowdown,-0.030092490779263965,2.0371257616826833e-05,-0.03011286203688079
2023-06-30,disinflationary_slowdown,0.019302868120186854,6.738397870900585e-06,0.019296129722315952
2023-07-31,disinflationary_slowdown,0.026272989773725573,5.853913740228461e-06,0.026267135859985344
2023-08-31,disinflationary_slowdown,-0.03494017239923877,7.209103381985855e-07,-0.03494089330957697
2023-09-30,disinflationary_slowdown,-0.027676328161965587,1.2502195147857005e-06,-0.027677578381480373
2023-10-31,disinflationary_slowdown,-0.004036744156707806,2.4706464388569752e-06,-0.004039214803146663
2023-11-30,disinflationary_slowdown,0.04891539598218935,1.114767442523558e-05,0.04890424830776412
2023-12-31,disinflationary_slowdown,0.029555498499598445,3.836530043948554e-06,0.029551661969554496
2024-01-31,disinflationary_slowdown,-0.026243690084231323,6.822722599161273e-06,-0.026250512806830485
2024-02-29,disinflationary_slowdown,0.06043908790046737,4.787166853465925e-06,0.0604343007336139
2024-03-31,global_easing_growth,0.03509931159953882,0.0,0.03509931159953882
2024-04-30,global_easing_growth,-0.026503806306136666,1.0755285551056204e-19,-0.026503806306136666
2024-05-31,global_easing_growth,0.02702533680098697,0.0,0.02702533680098697
2024-06-30,global_easing_growth,0.00909534989359443,2.0816681711721686e-20,0.00909534989359443
2024-07-31,global_easing_growth,0.013680615892381698,0.0,0.013680615892381698
2024-08-31,global_easing_growth,0.00942671287378463,0.0,0.00942671287378463
2024-09-30,global_easing_growth,0.06779627319153754,0.0,0.06779627319153754
2024-10-31,global_easing_growth,-0.006230822768740705,0.0,-0.006230822768740705
2024-11-30,global_easing_growth,0.04018809384394614,0.0,0.04018809384394614
2024-12-31,global_easing_growth,-0.015477581827746476,8.612926835997737e-06,-0.015486194754582475
2025-01-31,global_easing_growth,0.030793687003256773,0.0,0.030793687003256773
2025-02-28,global_easing_growth,-0.014912815027699002,4.692342894900951e-06,-0.014917507370593903
2025-03-31,global_easing_growth,-0.009572519672254202,0.0,-0.009572519672254202
2025-04-30,global_easing_growth,0.008576664133543282,0.0,0.008576664133543282
2025-05-31,global_easing_growth,0.03169597491820768,7.28583859910259e-20,0.03169597491820768
2025-06-30,global_easing_growth,0.029303672877935234,5.807013033879045e-07,0.029303092176631847
2025-07-31,global_easing_growth,0.02141161438624226,0.0,0.02141161438624226
2025-08-31,global_easing_growth,0.009275203759476354,5.2765249552508e-06,0.009269927234521103
2025-09-30,reflation,0.08087734574850415,8.326672684688674e-20,0.08087734574850415
2025-10-31,reflation,0.010493170736413189,7.28583859910259e-20,0.010493170736413189
2025-11-30,reflation,-0.004478473712442071,0.0,-0.004478473712442071
2025-12-31,reflation,-0.002625020322672766,0.0,-0.002625020322672766
2026-01-31,global_easing_growth,0.02516989825570495,9.367506770274758e-20,0.02516989825570495
2026-02-28,global_easing_growth,0.010743131156292527,0.0,0.010743131156292527
2026-03-31,reflation,-0.0017362538832230137,1.0755285551056204e-19,-0.0017362538832230137
