date,CGB,CSI300,STAR50
2018-10-30,114.267,3.168,
2018-10-31,114.305,3.205,
2018-11-01,114.39,3.228,
2018-11-02,114.171,3.363,
2018-11-05,114.331,3.32,
2018-11-06,114.445,3.299,
2018-11-07,114.62,3.272,
2018-11-08,114.766,3.269,
2018-11-09,114.701,3.228,
2018-11-12,114.932,3.264,
2018-11-13,114.826,3.298,
2018-11-14,115.037,3.258,
2018-11-15,115.429,3.301,
2018-11-16,115.548,3.311,
2018-11-19,115.505,3.348,
2018-11-20,115.265,3.275,
2018-11-21,115.329,3.278,
2018-11-22,115.26,3.269,
2018-11-23,114.691,3.184,
2018-11-26,114.685,3.189,
2018-11-27,114.718,3.186,
2018-11-28,114.722,3.234,
2018-11-29,114.725,3.202,
2018-11-30,114.755,3.235,
2018-12-03,114.84,3.319,
2018-12-04,115.175,3.324,
2018-12-05,115.441,3.309,
2018-12-06,115.697,3.242,
2018-12-07,115.651,3.235,
2018-12-10,115.832,3.205,
2018-12-11,115.988,3.218,
2018-12-12,116.007,3.229,
2018-12-13,115.819,3.284,
2018-12-14,115.665,3.227,
2018-12-17,115.76,3.223,
2018-12-18,115.85,3.183,
2018-12-19,115.995,3.15,
2018-12-20,115.804,3.127,
2018-12-21,116.047,3.088,
2018-12-24,116.031,3.095,
2018-12-25,115.982,3.076,
2018-12-26,115.969,3.059,
2018-12-27,116.008,3.052,
2018-12-28,116.593,3.059,
2019-01-02,116.267,3.017,
2019-01-03,116.32,3.017,
2019-01-04,116.527,3.094,
2019-01-07,116.638,3.107,
2019-01-08,116.622,3.107,
2019-01-09,116.624,3.13,
2019-01-10,116.617,3.133,
2019-01-11,116.571,3.156,
2019-01-14,116.47,3.129,
2019-01-15,116.504,3.188,
2019-01-16,116.599,3.129,
2019-01-17,116.671,3.112,
2019-01-18,116.603,3.166,
2019-01-21,116.48,3.183,
2019-01-22,116.515,3.143,
2019-01-23,116.488,3.135,
2019-01-24,116.525,3.159,
2019-01-25,116.521,3.183,
2019-01-28,116.498,3.179,
2019-01-29,116.57,3.193,
2019-01-30,116.654,3.172,
2019-01-31,116.724,3.202,
2019-02-01,116.83,3.255,
2019-02-11,116.942,3.3,
2019-02-12,117.009,3.324,
2019-02-13,117.032,3.393,
2019-02-14,116.944,3.397,
2019-02-15,117.068,3.341,
2019-02-18,116.939,3.438,
2019-02-19,116.883,3.429,
2019-02-20,116.923,3.438,
2019-02-21,116.881,3.434,
2019-02-22,116.806,3.526,
2019-02-25,116.56,3.775,
2019-02-26,116.256,3.69,
2019-02-27,116.599,3.67,
2019-02-28,116.444,3.663,
2019-03-01,116.422,3.738,
2019-03-04,116.363,3.777,
2019-03-05,116.312,3.809,
2019-03-06,116.238,3.835,
2019-03-07,116.357,3.793,
2019-03-08,116.488,3.661,
2019-03-11,116.393,3.71,
2019-03-12,116.43,3.735,
2019-03-13,116.443,3.713,
2019-03-14,116.367,3.686,
2019-03-15,116.366,3.735,
2019-03-18,116.353,3.85,
2019-03-19,116.363,3.822,
2019-03-20,116.394,3.822,
2019-03-21,116.399,3.824,
2019-03-22,116.484,3.829,
2019-03-25,116.693,3.734,
2019-03-26,116.856,3.695,
2019-03-27,116.768,3.727,
2019-03-28,116.876,3.717,
2019-03-29,116.862,3.869,
2019-04-01,116.739,3.969,
2019-04-02,116.721,3.962,
2019-04-03,116.456,4.015,
2019-04-04,116.424,4.062,
2019-04-08,116.134,4.036,
2019-04-09,116.142,4.06,
2019-04-10,115.776,4.066,
2019-04-11,116.177,3.996,
2019-04-12,116.061,3.982,
2019-04-15,115.873,3.957,
2019-04-16,115.785,4.077,
2019-04-17,115.857,4.067,
2019-04-18,115.859,4.06,
2019-04-19,115.958,4.12,
2019-04-22,116.027,4.017,
2019-04-23,115.929,4.01,
2019-04-24,115.787,4.016,
2019-04-25,115.916,3.933,
2019-04-26,116.007,3.879,
2019-04-29,115.839,3.894,
2019-04-30,116.084,3.896,
2019-05-06,116.1,3.673,
2019-05-07,116.343,3.707,
2019-05-08,116.337,3.659,
2019-05-09,116.38,3.607,
2019-05-10,116.385,3.72,
2019-05-13,116.485,3.652,
2019-05-14,116.387,3.634,
2019-05-15,116.382,3.712,
2019-05-16,116.421,3.73,
2019-05-17,116.583,3.646,
2019-05-20,116.576,3.606,
2019-05-21,116.485,3.651,
2019-05-22,116.458,3.642,
2019-05-23,116.575,3.584,
2019-05-24,116.661,3.59,
2019-05-27,116.454,3.633,
2019-05-28,116.612,3.65,
2019-05-29,116.696,3.652,
2019-05-30,116.82,3.65,
2019-05-31,116.956,3.632,
2019-06-03,116.996,3.64,
2019-06-04,117.001,3.607,
2019-06-05,117.056,3.599,
2019-06-06,116.992,3.568,
2019-06-10,116.928,3.614,
2019-06-11,116.732,3.727,
2019-06-12,116.794,3.699,
2019-06-13,116.794,3.692,
2019-06-14,116.944,3.67,
2019-06-17,117.003,3.673,
2019-06-18,117.029,3.681,
2019-06-19,117.061,3.735,
2019-06-20,117.09,3.843,
2019-06-21,117.203,3.85,
2019-06-24,117.157,3.856,
2019-06-25,117.189,3.817,
2019-06-26,117.175,3.818,
2019-06-27,117.147,3.86,
2019-06-28,117.163,3.859,
2019-07-01,117.184,3.954,
2019-07-02,117.319,3.96,
2019-07-03,117.699,3.927,
2019-07-04,117.55,3.901,
2019-07-05,117.527,3.921,
2019-07-08,117.513,3.831,
2019-07-09,117.58,3.822,
2019-07-10,117.511,3.823,
2019-07-11,117.514,3.824,
2019-07-12,117.513,3.855,
2019-07-15,117.553,3.869,
2019-07-16,117.556,3.853,
2019-07-17,117.555,3.847,
2019-07-18,117.602,3.822,
2019-07-19,117.637,3.862,
2019-07-22,117.642,3.832,
2019-07-23,117.682,3.841,
2019-07-24,117.67,3.872,
2019-07-25,117.641,3.907,
2019-07-26,117.661,3.912,
2019-07-29,117.647,3.906,
2019-07-30,117.641,3.924,
2019-07-31,117.69,3.896,
2019-08-01,117.756,3.86,
2019-08-02,117.94,3.801,
2019-08-05,118.29,3.735,
2019-08-06,118.494,3.696,
2019-08-07,118.132,3.672,
2019-08-08,118.146,3.726,
2019-08-09,118.427,3.697,
2019-08-12,118.64,3.756,
2019-08-13,118.629,3.724,
2019-08-14,118.51,3.738,
2019-08-15,118.526,3.753,
2019-08-16,118.428,3.769,
2019-08-19,118.232,3.859,
2019-08-20,118.22,3.843,
2019-08-21,118.265,3.842,
2019-08-22,118.233,3.85,
2019-08-23,118.027,3.877,
2019-08-26,118.258,3.834,
2019-08-27,118.22,3.874,
2019-08-28,118.24,3.862,
2019-08-29,118.27,3.851,
2019-08-30,118.191,3.861,
2019-09-02,118.149,3.904,
2019-09-03,118.047,3.908,
2019-09-04,118.051,3.957,
2019-09-05,118.16,3.994,
2019-09-06,118.541,4.021,
2019-09-09,118.431,4.037,
2019-09-10,118.382,4.026,
2019-09-11,118.321,3.997,
2019-09-12,118.199,4.038,
2019-09-16,118.184,4.024,
2019-09-17,118.232,3.951,
2019-09-18,118.186,3.968,
2019-09-19,118.21,3.987,
2019-09-20,118.268,3.993,
2019-09-23,118.329,3.958,
2019-09-24,118.28,3.961,
2019-09-25,118.282,3.934,
2019-09-26,118.254,3.907,
2019-09-27,118.161,3.916,
2019-09-30,118.399,3.869,
2019-10-08,118.351,3.894,
2019-10-09,118.464,3.905,
2019-10-10,118.369,3.933,
2019-10-11,118.304,3.981,
2019-10-14,118.261,4.01,
2019-10-15,118.291,3.997,
2019-10-16,118.28,3.983,
2019-10-17,118.331,3.989,
2019-10-18,118.256,3.931,
2019-10-21,118.018,3.94,
2019-10-22,118.111,3.955,
2019-10-23,118.151,3.934,
2019-10-24,118.167,3.939,
2019-10-25,118.215,3.963,
2019-10-28,118.027,3.986,
2019-10-29,117.96,3.973,
2019-10-30,117.912,3.947,
2019-10-31,117.96,3.945,
2019-11-01,118.021,4.026,
2019-11-04,117.956,4.039,
2019-11-05,118.06,4.062,
2019-11-06,118.211,4.045,
2019-11-07,118.131,4.05,
2019-11-08,118.079,4.034,
2019-11-11,118.229,3.967,
2019-11-12,118.27,3.962,
2019-11-13,118.283,3.959,
2019-11-14,118.223,3.962,
2019-11-15,118.321,3.943,
2019-11-18,118.638,3.971,
2019-11-19,118.695,4.011,
2019-11-20,118.631,3.97,
2019-11-21,118.703,3.95,
2019-11-22,118.673,3.908,
2019-11-25,118.57,3.936,
2019-11-26,118.56,3.942,
2019-11-27,118.599,3.936,
2019-11-28,118.596,3.93,
2019-11-29,118.775,3.887,
2019-12-02,118.934,3.895,
2019-12-03,119.02,3.911,
2019-12-04,119.001,3.913,
2019-12-05,118.981,3.942,
2019-12-06,118.96,3.966,
2019-12-09,118.789,3.953,
2019-12-10,118.719,3.956,
2019-12-11,118.756,3.9,
2019-12-12,118.758,3.889,
2019-12-13,118.761,3.968,
2019-12-16,118.746,3.98,
2019-12-17,118.69,4.042,
2019-12-18,118.722,4.027,
2019-12-19,118.752,4.02,
2019-12-20,118.882,4.016,
2019-12-23,119.026,3.964,
2019-12-24,119.356,3.985,
2019-12-25,119.32,3.992,
2019-12-26,119.469,4.021,
2019-12-27,119.697,4.017,
2019-12-30,119.637,4.075,
2019-12-31,119.851,4.096,
2020-01-02,119.377,4.149,
2020-01-03,119.266,4.139,
2020-01-06,119.391,4.123,
2020-01-07,119.336,4.155,
2020-01-08,119.469,4.114,
2020-01-09,119.574,4.158,
2020-01-10,119.696,4.157,
2020-01-13,119.699,4.202,
2020-01-14,119.789,4.184,
